"Seat_Class","Business_or_Personal_Travel","Gender","NumOfPassengers","Avg_Flight_Distance","Depart_Arrival_Time_Rating","Online_Booking_Rating","Gate_Location_Rating","FnB_Rating","Seat_Comfort_Rating","IFE_Rating","OnBoard_Service_Rating","LegRoom_Rating","Baggage_Handling_Rating","CheckIn_Service_Rating","Inflight_Service_Rating","Cleanliness_Rating","Avg_Depart_Delay_Minutes","Avg_Arrival_Delay_Minutes"
Eco,Personal Travel,Female,3199,799.4842138168177555,3.6273835573616755,2.4454517036573929,2.9268521412941544,3.0990934667083464,3.3679274773366677,3.0325101594248203,3.2038136917786808,2.9118474523288528,3.4316974054391997,3.3710534542044389,3.4579556111284776,3.1641137855579869,14.3935604876523914,14.9451926088318196
Eco Plus,Business travel,Male,447,718.5592841163310962,2.9418344519015660,2.8970917225950783,3.0850111856823266,3.1633109619686801,3.1565995525727069,3.1431767337807606,2.6823266219239374,2.9686800894854586,3.1275167785234899,2.6532438478747204,3.1230425055928412,3.1565995525727069,15.6733780760626398,16.6375838926174497
Eco,Business travel,Female,2613,693.3463451970914657,2.5399923459624952,2.7412935323383085,2.9846919249904325,3.1611174894756984,3.1680061232300038,3.2055109070034443,2.9800995024875622,3.0918484500574053,3.2939150401836969,2.8469192499043245,3.2931496364332185,3.0658247225411405,15.2269422120168389,15.8704842428900846
Eco,Business travel,Male,2434,680.5209531635168447,2.6158586688578472,2.7990961380443714,3.0061626951520131,3.1491372226787182,3.1446179129005752,3.1532456861133936,2.8800328677074774,3.0480690221857025,3.2415776499589154,2.8788003286770748,3.2834839769926048,3.1573541495480690,15.8377156943303205,16.5974454058508447
Business,Business travel,Male,5891,1705.0668816839246308,2.8708198947547106,2.9246307927346800,2.9750466813783738,3.3736207774571380,3.7852656594805636,3.6898658971312171,3.7088779494143609,3.6696655915803768,3.8708198947547106,3.5420132405364115,3.8606348667458836,3.5145136649125785,14.5808860974367680,14.7157196325280708
Eco Plus,Business travel,Female,565,707.2513274336283186,2.7415929203539823,2.7398230088495575,3.0389380530973451,3.1451327433628319,3.1274336283185841,3.1061946902654867,2.8831858407079646,3.0424778761061947,3.1628318584070796,2.7256637168141593,3.1752212389380531,3.1115044247787611,15.6566371681415929,16.9360568383658970
Business,Business travel,Female,6088,1718.3975032851511170,2.9002956636005256,2.9540078843626807,3.0174113009198423,3.3608738501971091,3.7836727989487516,3.6747700394218134,3.7311103810775296,3.6995729303547963,3.8784494086727989,3.5358081471747700,3.8896189224704336,3.5126478318002628,13.3955321944809461,13.6755731486063005
Eco Plus,Personal Travel,Female,459,775.5577342047930283,3.5490196078431373,2.5076252723311547,2.8583877995642702,3.0326797385620915,3.2941176470588235,2.9455337690631808,3.1437908496732026,2.8583877995642702,3.3507625272331155,3.3943355119825708,3.3921568627450980,3.0980392156862745,12.4945533769063181,12.9104803493449782
Business,Personal Travel,Male,268,881.5037313432835821,3.6417910447761194,2.5746268656716418,2.8507462686567164,3.0298507462686567,3.5410447761194030,2.9701492537313433,3.0634328358208955,2.9589552238805970,3.2835820895522388,3.3134328358208955,3.3022388059701493,3.1716417910447761,11.1119402985074627,12.0261194029850746
Eco,Personal Travel,Male,3318,784.8245931283905967,3.6181434599156118,2.4692585895117541,2.9385171790235081,2.9737793851717902,2.9430379746835443,3.0072332730560579,3.3152501506931887,3.2420132610006028,3.7465340566606389,3.3194695599758891,3.7817962628089210,2.9936708860759494,14.0033152501506932,14.5405814657783162
Business,Personal Travel,Female,248,830.0645161290322581,3.5846774193548387,2.4677419354838710,3.0120967741935484,3.2177419354838710,3.5725806451612903,3.0766129032258065,3.1451612903225806,2.8225806451612903,3.3991935483870968,3.2500000000000000,3.3669354838709677,3.1733870967741935,14.7862903225806452,14.7338709677419355
Eco Plus,Personal Travel,Male,446,796.2399103139013453,3.5964125560538117,2.4865470852017937,2.8901345291479821,2.8878923766816143,2.8408071748878924,2.9394618834080717,3.2825112107623318,3.2780269058295964,3.6098654708520179,3.3071748878923767,3.8026905829596413,2.9035874439461883,11.4125560538116592,11.7094594594594595
